0,16
1,91
2,44
3,72
4,53
5,95
6,21
7,38
8,59
9,83
10,75
11,88
12,23
13,26
14,49
15,90
16,2
17,39
18,62
19,41
20,98
21,70
22,57
23,48
24,67
25,28
26,9
27,56
28,33
29,81
30,96
31,12
32,74
33,65
34,94
35,34
36,31
37,8
38,77
39,19
40,3
41,14
42,35
43,37
44,66
45,58
46,22
47,71
48,27
49,79
50,97
51,45
52,11
53,52
54,55
55,20
56,87
57,80
58,92
59,78
60,15
61,25
62,61
63,10
64,63
65,89
66,1
67,6
68,93
69,18
70,36
71,13
72,32
73,29
74,4
75,68
76,30
77,46
78,76
79,50
80,24
81,47
82,73
83,17
84,64
85,7
86,82
87,60
88,5
89,85
90,40
91,86
92,42
93,69
94,0
95,54
96,84
97,99
98,100
99,43
100,51
